placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
LCS1R00,Volkswagen,T-Cross,SUV,2022,prata,particular,flex,Itajaí,1,10
PJT6O07,Suzuki,Intruder 250,moto,2019,preto,particular,gasolina,Chapecó,0,3
HUR5Y27,Toyota,Hilux,utilitário,2020,preto,particular,flex,Blumenau,0,3
PUT4K30,Suzuki,Yes 125,caminhão,2011,prata,aluguel,diesel,Balneário Camboriú,1,1
QKQ4K43,Yamaha,Fazer 250,moto,2019,marrom,particular,gasolina,São José,0,3
ONY2M68,Toyota,Etios,passeio,2013,marrom,particular,flex,Blumenau,0,2
BLL3J24,Suzuki,Yes 125,moto,2012,branco,aluguel,flex,Itajaí,0,1
MPQ9I84,Renault,Duster,SUV,2006,preto,particular,diesel,Xanxerê,0,0
FFV3F28,Ford,Ka,passeio,2015,laranja,particular,gasolina,Itajaí,0,2
XYQ2Q82,Renault,Logan,passeio,2013,preto,particular,flex,São José,0,2
HLD5R76,Jeep,Compass,SUV,2022,branco,particular,gasolina,Araranguá,0,2
MEN2S33,Chevrolet,Onix,passeio,2009,branco,aluguel,flex,Brusque,0,2
ORS6W50,Hyundai,Tucson,SUV,2017,branco,particular,flex,Laguna,0,2
RVA8A23,Volkswagen,Polo,passeio,2021,cinza,particular,flex,Balneário Camboriú,0,0
ZNY3T05,Hyundai,Azera,passeio,2025,prata,particular,flex,Balneário Camboriú,0,1
OTY9I89,Chevrolet,Spin,SUV,2018,amarelo,particular,flex,Itajaí,0,2
LSW9X55,Chevrolet,Prisma,passeio,2024,branco,particular,flex,São José,0,2
EUM5M16,Volkswagen,Gol,passeio,2014,cinza,particular,flex,Criciúma,0,1
RCV4L05,Chevrolet,Onix,passeio,2011,cinza,particular,flex,Florianópolis,0,1
HYB2B73,Hyundai,Azera,passeio,2022,prata,particular,gasolina,Tubarão,0,1
CFP6D11,Jeep,Renegade,SUV,2008,cinza,particular,flex,Araranguá,0,0
FPY1C65,Honda,Biz,moto,2024,cinza,aluguel,gasolina,Joinville,0,2
VWP7Q93,Ford,Ka,passeio,2024,branco,particular,flex,Caçador,0,2
PXR9E69,Hyundai,HB20,passeio,2013,cinza,particular,flex,Tubarão,0,3
MRP5Q71,Suzuki,Yes 125,moto,2015,verde,aluguel,gasolina,Chapecó,0,2
NJB4G03,Volkswagen,Gol,passeio,2020,preto,aluguel,flex,Joinville,0,2
YDO6P24,Volkswagen,Gol,passeio,2019,branco,particular,diesel,Itajaí,0,2
QRY5Z90,Volkswagen,T-Cross,SUV,2023,branco,particular,flex,Chapecó,0,0
BTH2I84,Yamaha,XTZ 150,moto,2025,prata,particular,flex,Criciúma,0,2
VIJ6H07,Volkswagen,Polo,passeio,2020,amarelo,particular,flex,Joinville,0,0
KVH8Q18,Yamaha,Fazer 250,moto,2020,prata,aluguel,gasolina,Florianópolis,0,0
IUO9Q80,Peugeot,2008,SUV,2022,cinza,particular,flex,Joinville,0,1
JMD4V46,Honda,CG 160,moto,2023,azul,particular,flex,Concórdia,0,1
CSM7G60,Yamaha,Factor 125,moto,2022,cinza,aluguel,gasolina,Chapecó,0,3
LGL1J88,Chevrolet,Onix,passeio,2016,cinza,particular,flex,Rio do Sul,0,3
DST6Q64,Ford,Ka,passeio,2020,verde,particular,flex,Blumenau,0,2
FRG7J47,Renault,Sandero,passeio,2019,cinza,particular,gasolina,Florianópolis,0,0
CNL8R90,Yamaha,XTZ 150,moto,2024,branco,particular,gasolina,São José,0,1
TRD3C42,Volkswagen,T-Cross,SUV,2019,verde,particular,flex,Araranguá,0,1
JZI9F86,Ford,Fiesta,passeio,2020,cinza,particular,flex,São José,0,2
UML9I91,Volkswagen,T-Cross,SUV,2024,cinza,aluguel,flex,Itajaí,0,0
FZU3Q65,Renault,Logan,passeio,2021,preto,particular,flex,Chapecó,0,1
TFQ0H31,Hyundai,HB20,passeio,2024,branco,particular,flex,Criciúma,0,0
WFR6Z20,Hyundai,Tucson,SUV,2008,cinza,particular,flex,Florianópolis,0,0
NMX3Z91,Volkswagen,T-Cross,SUV,2019,verde,particular,flex,Joinville,0,1
QXC1E79,Peugeot,Partner,utilitário,2024,prata,aluguel,álcool,Chapecó,0,1
ALN6R65,Peugeot,Partner,utilitário,2020,prata,particular,flex,Florianópolis,0,0
URW0N13,Yamaha,Factor 125,moto,2006,azul,particular,gasolina,Blumenau,0,1
FRP8C39,Suzuki,Intruder 250,moto,2006,cinza,particular,flex,Tubarão,0,3
BLH9X86,Suzuki,Yes 125,moto,2025,vermelho,particular,flex,São José,0,3
IWT4F26,Suzuki,Intruder 250,moto,2013,branco,particular,gasolina,Balneário Camboriú,0,2
KSM9L97,Suzuki,Yes 125,moto,2019,cinza,particular,gasolina,Palhoça,0,3
ODR3P07,Hyundai,Azera,passeio,2007,cinza,particular,flex,Florianópolis,0,2
ZOP8M56,Renault,Sandero,passeio,2008,prata,particular,gasolina,Chapecó,1,14
WOZ4D31,Yamaha,Fazer 250,moto,2012,preto,particular,flex,Itajaí,0,0
FGJ8B99,Jeep,Renegade,SUV,2018,preto,particular,gasolina,Florianópolis,0,1
BUE9E57,Chevrolet,Spin,SUV,2018,preto,particular,diesel,Lages,0,2
YUR4I93,Yamaha,Factor 125,moto,2024,preto,particular,gasolina,Florianópolis,0,2
ECT3A59,Yamaha,Factor 125,moto,2021,branco,aluguel,gasolina,Concórdia,0,2
TSR5Q36,Volkswagen,Polo,passeio,2020,amarelo,aluguel,flex,Chapecó,1,16
YTI0G24,Honda,Fit,passeio,2022,branco,particular,flex,Itajaí,0,2
FPH9U74,Renault,Sandero,passeio,2019,preto,aluguel,diesel,Florianópolis,0,3
YOK7S35,Honda,City,passeio,2025,prata,particular,flex,Florianópolis,0,0
UVD2T86,Hyundai,HB20,passeio,2025,branco,particular,flex,Blumenau,0,0
EHP2O73,Ford,Ka,passeio,2018,verde,particular,gasolina,Tubarão,0,0
QJK8L43,Suzuki,Yes 125,moto,2024,preto,particular,flex,Criciúma,0,1
UOO5K39,Renault,Duster,SUV,2012,amarelo,particular,flex,Blumenau,0,1
XUU0W43,Ford,Ka,passeio,2021,prata,particular,flex,Joinville,0,0
YXD4P94,Ford,Ka,passeio,2020,prata,particular,elétrico,Itajaí,0,1
KDE8S49,Toyota,Etios,passeio,2022,amarelo,aluguel,gasolina,Balneário Camboriú,0,3
OYD5G21,Chevrolet,Onix,passeio,2009,preto,particular,gasolina,Joinville,0,3
AHB0W37,Renault,Sandero,passeio,2005,branco,particular,flex,Brusque,0,2
SSV0X39,Yamaha,XTZ 150,moto,2023,branco,particular,gasolina,Balneário Camboriú,0,1
ABI6X62,Ford,Ranger,caminhão,2024,preto,particular,diesel,Blumenau,0,0
KQV2A04,Volkswagen,T-Cross,SUV,2023,prata,particular,diesel,Palhoça,0,3
KPK8Z89,Toyota,Hilux,utilitário,2007,amarelo,particular,flex,Canoinhas,0,0
BDP3Y65,Volkswagen,Gol,passeio,2010,branco,oficial,gasolina,Chapecó,0,0
CZT2B07,Fiat,Uno,passeio,2010,branco,particular,elétrico,São José,0,1
VRA8P58,Toyota,Hilux,utilitário,2022,branco,particular,flex,Itajaí,0,0
OOT4O98,Ford,Ka,passeio,2008,preto,particular,gasolina,Joinville,0,3
DMV5S89,Chevrolet,S10,caminhão,2018,cinza,particular,diesel,Laguna,1,9
ZCC0X29,Hyundai,Tucson,SUV,2025,prata,particular,flex,Itajaí,0,0
AFG0M24,Ford,Ka,passeio,2009,branco,particular,flex,Florianópolis,0,3
HIU0O08,Chevrolet,Prisma,passeio,2018,prata,particular,flex,Blumenau,0,3
CQO9N31,Fiat,Toro,utilitário,2012,cinza,particular,gasolina,Rio do Sul,0,2
KHD6W74,Fiat,Mobi,passeio,2018,branco,particular,flex,Laguna,0,2
FHD0G12,Honda,City,passeio,2024,preto,particular,flex,Joinville,0,0
ASL7C87,Volkswagen,Polo,passeio,2018,branco,particular,flex,Chapecó,0,1
EUD8V62,Renault,Logan,passeio,2013,cinza,particular,gasolina,Jaraguá do Sul,0,3
VKV0U62,Renault,Duster,SUV,2019,preto,particular,gasolina,Itajaí,1,8
HNO4Q85,Yamaha,Factor 125,SUV,2018,branco,particular,flex,Balneário Camboriú,1,1
LMN9Q85,Fiat,Argo,passeio,2020,laranja,aluguel,flex,Palhoça,0,3
LMJ9L47,Honda,Civic,passeio,2018,cinza,particular,flex,Joinville,0,1
LEZ1E70,Honda,Civic,passeio,2024,amarelo,particular,flex,Rio do Sul,0,0
EET5B97,Suzuki,Intruder 250,moto,2024,preto,particular,flex,São José,0,1
FUW7X69,Yamaha,Fazer 250,moto,2023,preto,particular,gasolina,Criciúma,0,3
SCN0V95,Toyota,Yaris,passeio,2023,cinza,particular,gasolina,Lages,0,1
FJO3A39,Yamaha,Fazer 250,moto,2020,branco,particular,flex,Itajaí,1,11
RJD5X58,Fiat,Toro,utilitário,2018,preto,aluguel,flex,Criciúma,0,0
XOV1Y95,Toyota,Corolla,passeio,2022,branco,particular,flex,Blumenau,0,3
TUO3A10,Honda,Biz,moto,2016,branco,particular,gasolina,Palhoça,0,2
BXZ3K90,Volkswagen,Polo,passeio,2012,azul,particular,flex,Lages,0,2
UXS6X42,Chevrolet,Tracker,SUV,2024,amarelo,particular,gasolina,São José,0,0
IQD9H71,Volkswagen,Virtus,passeio,2015,vermelho,particular,flex,Xanxerê,0,2
ZGF3W00,Hyundai,HB20,passeio,2020,marrom,particular,diesel,Joinville,1,0
SLO6X81,Volkswagen,T-Cross,SUV,2014,branco,aluguel,flex,Tubarão,1,2
XDH9Y45,Volkswagen,Virtus,passeio,2023,preto,particular,flex,Palhoça,0,1
EVC9B84,Volkswagen,Virtus,passeio,2021,branco,particular,flex,Joinville,0,2
NHI3X53,Toyota,Corolla,passeio,2025,vermelho,particular,gasolina,Joinville,0,0
ZVN5S92,Volkswagen,Virtus,passeio,2020,prata,particular,diesel,Caçador,0,3
RGO0V70,Chevrolet,Tracker,SUV,2007,cinza,particular,flex,Jaraguá do Sul,0,1
AOW4U94,Yamaha,Factor 125,moto,2024,branco,aluguel,gasolina,Florianópolis,0,1
NQJ2I68,Honda,Fit,passeio,2019,preto,particular,flex,Chapecó,0,3
OWW8B93,Renault,Kwid,passeio,2019,branco,particular,flex,Chapecó,0,0
LOB5A24,Yamaha,Fazer 250,moto,2021,vermelho,aluguel,flex,Blumenau,0,1
VSY4U59,Hyundai,Tucson,SUV,2024,branco,aluguel,flex,Itajaí,0,0
YND4M18,Volkswagen,Gol,passeio,2018,prata,particular,flex,Chapecó,0,2
FLG0D83,Fiat,Toro,utilitário,2005,preto,aluguel,flex,Xanxerê,0,3
TCD1U55,Honda,City,passeio,2021,branco,particular,flex,Blumenau,0,1
BKC3A96,Yamaha,Factor 125,moto,2025,laranja,aluguel,flex,Itajaí,0,3
SAQ5H43,Toyota,Yaris,passeio,2019,cinza,particular,flex,Xanxerê,0,2
FCF7W94,Suzuki,Yes 125,moto,2014,branco,particular,flex,Caçador,1,18
HCO4G28,Yamaha,Factor 125,moto,2025,marrom,particular,flex,Balneário Camboriú,0,2
QOQ0C98,Renault,Sandero,passeio,2021,preto,aluguel,flex,Chapecó,0,1
HUD7W83,Ford,Ka,passeio,2023,branco,aluguel,flex,Chapecó,0,0
JLZ2Z07,Jeep,Commander,SUV,2009,branco,aluguel,flex,Tubarão,0,0
NAK5K57,Volkswagen,T-Cross,SUV,2008,cinza,particular,flex,Itajaí,0,2
PIA0I99,Peugeot,208,passeio,2025,verde,particular,flex,Itajaí,0,0
GYR9Z35,Jeep,Commander,SUV,2021,cinza,particular,flex,São José,0,1
YTX9K78,Peugeot,308,passeio,2018,verde,particular,elétrico,Chapecó,0,1
SOY6S04,Renault,Duster,SUV,2025,branco,particular,flex,São José,0,3
CRM1P30,Toyota,Etios,passeio,2015,prata,particular,gasolina,Criciúma,0,0
SKJ4Q11,Volkswagen,T-Cross,SUV,2006,preto,particular,flex,Chapecó,0,0
VGN2F81,Jeep,Compass,SUV,2020,branco,aluguel,flex,Itajaí,0,1
KDB7M13,Toyota,Hilux,utilitário,2024,prata,aluguel,flex,Lages,0,2
NXF0J84,Volkswagen,Virtus,passeio,2021,verde,particular,diesel,Criciúma,0,3
WTT4J05,Hyundai,HB20,passeio,2012,cinza,particular,flex,Blumenau,0,2
HXR6Y10,Jeep,Compass,SUV,2019,laranja,aluguel,diesel,Concórdia,0,1
JLG7J25,Peugeot,Partner,utilitário,2021,preto,particular,flex,Chapecó,0,3
VSU9Z20,Renault,Kwid,passeio,2021,laranja,particular,diesel,Joinville,0,1
HSV5Z05,Yamaha,XTZ 150,moto,2010,prata,oficial,flex,Florianópolis,0,2
FFC9I89,Yamaha,Fazer 250,moto,2023,preto,particular,gasolina,Araranguá,0,3
NBU9W96,Ford,EcoSport,SUV,2014,branco,particular,flex,Florianópolis,0,0
LTR1Y75,Peugeot,2008,SUV,2015,cinza,particular,flex,Blumenau,0,3
TIJ5P06,Toyota,SW4,SUV,2023,prata,particular,gasolina,Itajaí,0,2
FZN4R37,Chevrolet,Onix,passeio,2024,verde,aluguel,flex,Chapecó,0,1
GPE1C24,Honda,City,passeio,2022,cinza,aluguel,gasolina,Itajaí,0,2
RWQ3N06,Renault,Duster,SUV,2008,prata,particular,flex,Joinville,0,0
MOU8V92,Jeep,Commander,SUV,2020,prata,particular,flex,Balneário Camboriú,0,1
OLI2T32,Peugeot,2008,SUV,2024,branco,particular,flex,São José,0,3
FCZ4F93,Jeep,Compass,SUV,2022,marrom,particular,flex,Chapecó,0,3
WPF4Z65,Honda,CG 160,moto,2007,preto,particular,gasolina,São José,0,1
CAV1V32,Jeep,Compass,SUV,2019,preto,particular,flex,Lages,0,0
MOV1I63,Chevrolet,Spin,SUV,2020,prata,particular,diesel,Balneário Camboriú,0,1
YMM1W63,Volkswagen,Voyage,passeio,2018,branco,particular,flex,Florianópolis,0,1
MGT9A96,Renault,Duster,SUV,2019,preto,particular,flex,Blumenau,0,2
AQY6O14,Yamaha,Factor 125,moto,2021,cinza,particular,flex,Itajaí,0,0
UYN5B08,Honda,Biz,moto,2005,cinza,particular,flex,São José,0,3
OOU8O33,Renault,Duster,SUV,2018,preto,particular,diesel,Itajaí,0,3
SQP1O91,Ford,Ka,passeio,2005,cinza,particular,flex,Florianópolis,0,0
FUR0V44,Renault,Kwid,passeio,2016,preto,oficial,flex,Laguna,0,3
CJY6O60,Suzuki,Intruder 250,moto,2017,azul,particular,gasolina,Blumenau,0,2
DVG7S40,Chevrolet,Onix,passeio,2024,prata,particular,flex,Joinville,0,0
VOP0P84,Honda,City,passeio,2019,cinza,particular,flex,Criciúma,0,0
XUU2Z13,Hyundai,Creta,SUV,2023,prata,particular,flex,Chapecó,0,3
VAQ1D27,Suzuki,Intruder 250,moto,2022,preto,particular,gasolina,Chapecó,0,3
XEH7G39,Yamaha,XTZ 150,moto,2023,cinza,aluguel,gasolina,São José,0,1
ILK6K45,Toyota,Etios,passeio,2013,branco,particular,flex,Araranguá,0,1
FFV2J41,Peugeot,308,passeio,2022,vermelho,particular,flex,Balneário Camboriú,0,1
ZJU8Q93,Fiat,Strada,utilitário,2024,cinza,aluguel,flex,Chapecó,0,0
YCM0K92,Toyota,SW4,SUV,2020,marrom,particular,flex,Blumenau,0,2
NNR0C33,Ford,EcoSport,SUV,2021,preto,aluguel,flex,Brusque,0,1
TMB2T92,Renault,Sandero,passeio,2022,prata,particular,flex,Itajaí,1,12
XCO1R83,Jeep,Compass,SUV,2012,branco,particular,flex,Criciúma,0,1
FSM0X71,Ford,Ranger,caminhão,2009,verde,particular,diesel,Araranguá,0,1
VVM1V54,Fiat,Toro,passeio,2021,branco,particular,flex,Palhoça,1,2
WWQ2D04,Fiat,Strada,utilitário,2014,preto,particular,diesel,Chapecó,0,1
DRM6O31,Fiat,Argo,passeio,2018,branco,aluguel,flex,Lages,0,1
DJK3E77,Fiat,Toro,utilitário,2023,preto,particular,flex,Florianópolis,0,1
IYF6L81,Chevrolet,Spin,SUV,2020,branco,particular,flex,Chapecó,0,1
GNR8L82,Suzuki,Yes 125,moto,2010,preto,particular,gasolina,Itajaí,0,2
WFO8B11,Ford,Fusion,passeio,2015,preto,particular,flex,Rio do Sul,0,1
QAV3G37,Renault,Logan,passeio,2021,branco,particular,flex,Blumenau,0,2
AOO3M17,Honda,CG 160,moto,2005,vermelho,particular,gasolina,Chapecó,0,1
OYB3J40,Ford,EcoSport,SUV,2022,preto,particular,gasolina,Canoinhas,0,0
OZP0R46,Volkswagen,Gol,passeio,2025,preto,particular,flex,Criciúma,0,3
WTZ8B55,Hyundai,Tucson,SUV,2021,azul,particular,diesel,Criciúma,0,1
OBA5B77,Renault,Sandero,passeio,2021,preto,particular,gasolina,Blumenau,0,3
XMF5B37,Suzuki,Yes 125,moto,2016,preto,aluguel,flex,Florianópolis,0,1
QNK8E59,Toyota,Hilux,utilitário,2013,vermelho,particular,flex,Joinville,0,2
SQO7N46,Yamaha,Factor 125,moto,2007,vermelho,particular,gasolina,Joinville,0,1
JGE5D86,Chevrolet,S10,caminhão,2019,cinza,aluguel,diesel,São José,0,0
RKR0A42,Ford,Fusion,passeio,2013,branco,aluguel,gasolina,Blumenau,0,1
ODB8E66,Yamaha,Fazer 250,moto,2005,preto,particular,gasolina,Florianópolis,0,3
HEQ5R24,Suzuki,Yes 125,moto,2013,preto,particular,flex,Palhoça,0,1
WOW9U51,Jeep,Renegade,SUV,2019,branco,particular,diesel,Caçador,1,0
CZJ8C16,Chevrolet,Tracker,SUV,2012,prata,particular,flex,Blumenau,0,2
WTO3F66,Toyota,Etios,passeio,2023,preto,aluguel,flex,Lages,0,1
XKV0Y53,Volkswagen,T-Cross,SUV,2023,prata,particular,flex,Itajaí,0,1
BNN6E19,Ford,Fiesta,passeio,2018,vermelho,particular,flex,Joinville,0,0
VRY3A21,Volkswagen,Polo,passeio,2019,azul,particular,flex,Florianópolis,0,0
PPE4T00,Volkswagen,T-Cross,SUV,2023,branco,particular,flex,Canoinhas,0,3
SEE3B26,Ford,EcoSport,SUV,2020,azul,particular,flex,Florianópolis,0,0
HAY8O99,Suzuki,Yes 125,moto,2014,branco,particular,gasolina,Brusque,0,0
XLW1R17,Ford,Ranger,caminhão,2015,cinza,aluguel,diesel,Joinville,0,0
VYK4U40,Yamaha,Fazer 250,moto,2021,preto,particular,flex,São José,0,3
SSA8H44,Peugeot,308,passeio,2020,laranja,particular,diesel,São José,0,2
PDA4Q20,Hyundai,HB20,passeio,2025,preto,particular,flex,Itajaí,0,3
IAW3V70,Yamaha,XTZ 150,moto,2023,branco,particular,gasolina,Lages,0,1
NEU7X73,Volkswagen,Virtus,passeio,2024,prata,particular,flex,Joinville,1,17
RAV5K58,Hyundai,HB20,passeio,2007,preto,particular,gasolina,Laguna,0,0
YET1L52,Renault,Kwid,passeio,2016,preto,particular,flex,Lages,0,1
CHQ7E60,Yamaha,Fazer 250,moto,2014,cinza,particular,flex,Florianópolis,0,3
MXQ6D79,Toyota,SW4,SUV,2021,branco,particular,flex,Florianópolis,0,1
RUD3C97,Peugeot,Partner,utilitário,2022,branco,particular,flex,Brusque,0,3
ROT5R61,Suzuki,Intruder 250,moto,2006,prata,particular,gasolina,Palhoça,0,3
HDF5D92,Chevrolet,Spin,SUV,2016,preto,aluguel,álcool,Joinville,0,1
VTZ6F90,Renault,Logan,passeio,2021,vermelho,particular,elétrico,Brusque,0,2
LQY1Y92,Fiat,Toro,utilitário,2017,branco,particular,flex,Itajaí,0,2
UAQ9N70,Ford,Fusion,passeio,2025,prata,particular,elétrico,Lages,0,2
WKV9Z38,Ford,EcoSport,SUV,2014,prata,particular,gasolina,Araranguá,0,1
NOY1A97,Jeep,Renegade,SUV,2024,prata,aluguel,flex,Joinville,0,1
UTR6G17,Fiat,Strada,utilitário,2009,vermelho,particular,flex,Criciúma,0,1
BNY2O59,Hyundai,Azera,passeio,2024,prata,aluguel,flex,Canoinhas,0,1
CMB5S67,Honda,HR-V,SUV,2019,branco,particular,flex,Palhoça,0,3
KXV9Y97,Toyota,Yaris,passeio,2019,amarelo,particular,diesel,Blumenau,0,0
HHL9T88,Hyundai,Creta,SUV,2025,branco,particular,flex,Brusque,0,1
BTG4J03,Peugeot,Partner,utilitário,2011,marrom,particular,flex,Florianópolis,0,0
URI0I85,Yamaha,XTZ 150,moto,2007,cinza,particular,flex,Blumenau,0,0
QEF9F14,Jeep,Commander,SUV,2018,cinza,aluguel,flex,Canoinhas,0,1
DOD0G46,Peugeot,208,passeio,2018,prata,particular,flex,Blumenau,0,2
AUP8S86,Volkswagen,Virtus,passeio,2020,cinza,particular,diesel,Concórdia,0,1
YZS2A25,Ford,Fusion,passeio,2013,cinza,particular,flex,Itajaí,0,2
MPP4E01,Ford,EcoSport,SUV,2025,branco,particular,flex,Itajaí,0,1
FKE1V41,Fiat,Toro,utilitário,2022,branco,particular,gasolina,Rio do Sul,0,0
YCJ4G28,Peugeot,308,passeio,2020,prata,particular,flex,Florianópolis,0,1
